,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Current School Name,Previous School
21,,10.0,Ryan Melton,DB,5-11,177.0,Sr.,"West Point, Miss. / West Point HS",Austin Peay State,South Alabama
22,,11.0,Neyland Jean,QB,6-2,214.0,R-Fr.,"Fayetteville, Tenn. / Baylor School",Austin Peay State,
23,,11.0,Brodie Williams,DB,5-9,175.0,R-Fr.,"Jonesboro, Ark. / Jonesboro HS",Austin Peay State,
24,,12.0,Mike DiLiello,QB,6-1,211.0,Gr.,"Pembroke Pines, Fla. / Cooper City HS",Austin Peay State,Middle Tennessee
25,,12.0,Jaheim Ward,DB,6-2,184.0,R-Fr.,"Moultrie, Ga. / Colquitt County HS",Austin Peay State,
26,,13.0,Cedarius Doss,DB,5-8,169.0,R-Jr.,"Birmingham, Ala. / Ramsey HS",Austin Peay State,Tuskegee
27,,14.0,Jeremiah Flemmons,WR,6-1,187.0,Fr.,"Ooltewah, Tenn. / East Hamilton HS",Austin Peay State,
28,,14.0,Darryl Rogan,LB,6-1,210.0,R-Jr.,"Nashville, Tenn. / Pearl-Cohn HS",Austin Peay State,
29,,15.0,Jake Johnson,QB,6-0,187.0,R-So.,"Knoxville, Tenn. / Timber Creek HS (Fla.)",Austin Peay State,Rollins College
30,,15.0,Antoine Williams,LB,5-10,196.0,R-So.,"Birmingham, Ala. / Pinson Valley HS",Austin Peay State,
31,,16.0,Bryce Robinson,QB,5-11,207.0,R-Jr.,"Clarksville, Tenn. / Clarksville Academy",Austin Peay State,
32,,16.0,Nate Sutton,DL,6-2,270.0,Gr.,"Philadelphia, Pa. / Martin Luther King HS",Austin Peay State,Tennessee State
33,,17.0,Mike Evans,DB,6-0,175.0,Fr.,"St. Petersburg, Fla. / Lakewood HS",Austin Peay State,
34,,17.0,JaQuan Randolph,WR,5-11,179.0,R-So.,"Lakeland, Fla. / Lake Gibson HS",Austin Peay State,
35,,18.0,Joshua DeCambre,WR,6-4,202.0,Gr.,"Staten Island, N.Y. / Curtis HS",Austin Peay State,Wagner
36,,19.0,Tae Gayden,WR,6-0,180.0,R-Fr.,"Rayville, La. / Mangham HS",Austin Peay State,
37,,19.0,Tra Stover,DB,6-1,181.0,Fr.,"Decatur, Ala. / Austin HS",Austin Peay State,
38,,20.0,Jaden Lyles,DB,5-10,202.0,Fr.,"Hendersonville, Tenn. / Lipscomb Academy",Austin Peay State,
39,,21.0,Denver Parker,DB,5-10,186.0,R-Fr.,"St. Louis, Mo. / De Smet Jesuit HS",Austin Peay State,
