,Statistic,#,Image,Full Name,Pos.,Ht.,Wt.,CL.,Hometown,Previous School,Name,Title
81,,88.0,,Taurean Singletary,WR,6-2,165.0,R-So.,"Dorchester, SC",,,
82,,89.0,,Ashaad Hall,DE,6-4,235.0,Fr.,"St. Petersburg, Fla.",,,
83,,91.0,,Ricardo Sprinkle,DL,6-1,265.0,Fr.,"Orangeburg, SC",Orangeburg-Wilkinson HS,,
84,,93.0,,Carnell Jones,DL,6-3,285.0,Fr.,"Summerville,?SC",,,
85,,95.0,,Naejuan Barber,DL,6-3,290.0,So.,"Hopkins, SC",Ridge View HS,,
86,,96.0,,Micaiah Settles,DL,6-2,280.0,Fr.,"Columbia, SC",A.C. Flora HS,,
87,,97.0,,Jamal McKinney,DL,-,,Fr.,,,,
88,,98.0,,Octaveon Minter,DL,6-2,245.0,So.,"Chester, SC",Chester HS,,
89,,99.0,,Jared Kirksey,DL,6-2,268.0,So.,"Clemson, SC",Daniel HS,,
0,,,,,,,,,,,"Oliver ""Buddy"" Pough",Head Football Coach
1,,,,,,,,,,,David Blanchard,Assistant Head Coach/Defensive Line/Defensive Ends
2,,,,,,,,,,,Corey Barlow,Assistant Football Coach (Defensive Backs)
3,,,,,,,,,,,Gerald Harrison,Defensive Tackles Coach/Director of Operations/Pro Liaison
4,,,,,,,,,,,Chris Parrott,Assistant Football Coach (Defensive Assistant)
5,,,,,,,,,,,Zach Edmunds,Assistant Football Coach (Running Backs)
6,,,,,,,,,,,Bennett Swygert,Offensive Coordinator/QB's
7,,,,,,,,,,,Steve Bird,Assistant Football Coach (WR's/Special Teams)
8,,,,,,,,,,,Na'Shan Goddard,Offensive Line
9,,,,,,,,,,,Jonathan Saxon,Defensive Coordinator/Linebackers Coach
10,,,,,,,,,,,Steve Oglesby,Offensive Quality Control
11,,,,,,,,,,,Brandon Johnson,Offensive Assistant (GA)
0,,,,,,,,,,,"Sidney Fulton, IV",Executive Director of Business Affairs/Equipment Operations (Sports Administrator:Tennis)
1,,,,,,,,,,,David Hart,Assistant Director of Athletics for Sports Medicine(Sports Administrator: Track & Field/ Cross Country)
2,,,,,,,,,,,Kendrick D. Lewis,Director of Athletic Media Relations & Marketing (Sports Administrator: Softball)
