,Statistic,#,Full Name,Class,Pos.,Ht.,Wt.,Hometown / High School,Image,Name,Title
44,,24.0,D'Marcus Harrington,R-So.,CB,6-0,185.0,"Hamlet, N.C. / Richmond Senior HS",,,
45,,25.0,Jeremiah Brown,R-Jr.,CB,6-0,190.0,"Tampa, Fla. / Tampa Bay Tech HS",,,
46,,25.0,Jay Sams,Fr.,WR,6-0,160.0,"Austin, Texas / Dripping Springs HS",,,
47,,26.0,DeAnte Jackson,R-Jr.,RB,6-2,205.0,"Beaufort, S.C. / Dixon HS",,,
48,,26.0,Alston Orji,Gr.,LB,6-2,235.0,"Rockwall, Texas / Rockwall HS / Vanderbilt",,,
49,,27.0,Idris Williams,Fr.,S,6-1,180.0,"Plant City, Fla. / Lakeland Christian",,,
50,,28.0,Greg Streater,Gr.,S,5-11,195.0,"High Point, N.C. / High Point Christian",,,
51,,29.0,Mike Swain,R-Fr.,S,5-10,180.0,"Fredericksburg, Va. / Massaponax HS",,,
52,,30.0,Josh McNeely,Gr.,CB,5-8,160.0,"Charlotte, N.C. / South Mecklenburg HS",,,
53,,30.0,Elijah Tidwell,R-Fr.,RB,5-8,195.0,"Ashburn, Va. / Independence HS",,,
54,,31.0,Cole Parvin,R-Fr.,S,6-1,185.0,"Leesburg, Va. / Independence HS",,,
55,,31.0,Corey Petersen,Gr.,P,6-1,220.0,"Traralgon, Australia / Monash University / Austin Peay",,,
56,,32.0,Caleb Dowden,R-Sr.,K,5-11,175.0,"Statesboro, Ga. / Statesboro HS / Mercer",,,
